OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance
141,0,148,797,5475,72,27,12,32,893,64,7104,2,14,290,4,353,14741
142,0,308,745,7134,151,18,17,44,1585,106,8285,0,21,305,0,336,10230
143,0,686,939,5949,399,67,11,48,1137,97,6811,1,22,374,0,325,9734
144,0,140,307,4060,25,49,8,25,1047,58,4445,0,10,208,0,90,13697
145,0,160,525,3644,33,32,7,35,352,146,4591,0,5,227,0,119,19577
146,0,44,75,833,2,0,2,7,164,40,1084,0,0,84,0,63,26108
147,0,0,1,1,0,0,0,1,0,3,9,0,0,14,0,2,32906
148,0,0,6,79,0,0,0,0,28,7,105,1,0,5,0,9,39833
149,0,0,0,21,0,0,0,0,0,2,107,0,0,0,0,2,46833
150,0,0,3,86,1,0,0,0,9,2,355,0,0,0,0,3,53877
151,0,0,2,11,0,0,0,0,0,6,51,0,0,0,0,1,60951
152,0,0,6,33,0,0,0,0,1,5,146,0,0,0,0,5,68043
153,0,0,0,6,0,0,0,1,0,2,16,0,0,0,0,0,75151
154,0,0,4,5,0,0,0,0,24,3,3,0,0,0,0,0,75984
155,0,4,5,29,0,0,0,1,58,5,9,0,0,0,0,3,68819
156,0,0,14,126,0,0,0,1,21,20,358,0,0,8,0,4,61655
157,0,0,3,2,0,0,0,0,4,7,9,0,0,3,0,4,54492
158,0,4,18,188,0,1,0,3,52,18,295,0,0,11,0,11,47330
159,0,78,396,2319,8,2,4,24,196,60,3600,1,0,157,1,61,40171
160,0,8,127,1319,4,14,2,13,119,21,2648,1,0,101,0,37,33015
161,0,16,161,762,5,67,1,6,130,9,1079,1,0,75,0,21,25866
162,0,0,116,727,13,21,0,2,39,11,1335,0,1,98,0,20,18731
163,0,12,432,2927,77,46,5,17,254,32,6142,0,8,196,0,106,11638
164,0,336,2682,12319,418,62,22,78,2843,314,14485,0,35,621,0,515,4774
165,0,1908,3982,17944,803,76,50,107,6156,306,15011,0,35,640,0,922,3591
166,0,150,413,3813,26,8,5,30,1537,50,4233,1,15,249,0,170,10284
167,0,18,59,942,2,1,2,7,58,10,1906,0,1,69,0,34,17360
168,0,4,62,585,2,3,4,14,85,94,891,0,0,77,0,42,24490
169,0,0,2,1,0,0,0,0,0,3,7,0,0,14,0,3,31637
170,0,0,1,0,0,0,0,0,2,0,5,0,0,13,0,2,38792
171,0,0,10,40,0,3,0,1,3,7,115,0,0,5,0,4,45951
172,0,0,5,31,0,0,0,0,3,3,159,0,0,0,0,1,53112
173,0,0,3,89,0,0,0,0,40,4,220,0,0,0,0,8,60275
174,0,0,12,147,0,4,0,1,8,5,491,0,0,0,0,3,67439
175,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,74604
176,0,0,0,13,0,0,0,1,42,4,7,0,0,0,0,1,76121
177,0,0,0,4,0,0,0,0,5,5,0,0,0,0,0,0,68971
178,0,0,5,6,0,0,0,0,14,10,5,0,0,0,0,5,61824
179,0,0,5,32,0,0,0,1,6,9,56,0,0,4,0,5,54683
180,0,0,11,69,0,0,0,1,29,6,114,0,0,7,0,2,47550
181,0,4,8,158,0,0,0,2,18,5,405,0,0,8,0,6,40430
182,0,0,11,119,0,1,0,3,5,13,423,0,0,4,0,9,33330
183,0,54,362,3306,19,23,10,25,813,79,3140,0,4,110,0,86,26267
184,0,314,681,4886,31,9,7,24,712,57,5260,0,6,209,0,99,19281
185,0,36,474,2936,43,196,5,26,516,43,2757,1,6,242,0,113,12504
186,0,268,2040,9123,280,43,17,61,1489,108,11294,0,30,494,0,319,6610
187,0,360,1510,8318,206,34,25,64,2553,253,12029,1,28,389,0,302,5813
188,0,66,303,2007,54,42,3,20,392,41,2443,0,13,202,0,91,11254
189,0,14,43,427,0,14,2,1,21,7,914,0,0,63,0,15,17952
190,0,0,15,107,1,2,0,1,13,9,214,0,0,49,0,23,24913
191,0,0,2,36,0,0,0,1,6,18,26,0,0,30,0,13,31966
192,0,0,1,8,0,0,0,0,0,8,20,0,0,42,0,3,39061
193,0,0,74,576,2,14,1,7,61,16,1227,0,0,57,1,20,46178
194,0,0,34,148,1,7,0,4,6,7,343,1,0,13,0,10,53309
195,0,0,14,31,0,0,0,0,0,4,177,0,0,1,0,1,60448
196,0,0,4,21,0,0,0,0,1,3,101,0,0,0,0,5,67594
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74744
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76929
199,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,69862
200,0,0,6,24,1,0,0,0,9,12,23,0,0,0,0,1,62816
201,0,0,17,204,1,0,0,2,27,20,621,0,0,3,0,4,55802
202,0,0,15,211,0,0,0,3,31,20,444,0,0,14,0,4,48833
203,0,2,20,274,0,0,0,3,55,16,771,0,0,29,0,8,41931
204,0,0,16,92,0,0,0,3,6,12,282,0,0,24,0,12,35136
205,0,0,40,458,0,1,1,2,29,19,814,0,1,46,0,21,28524
206,0,40,237,1397,40,52,4,14,86,27,1633,0,2,150,0,62,22258
207,0,284,552,5666,22,137,12,20,1504,37,5761,3,6,235,0,100,16734
