OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance,POI_Number,POI_Mixture
87,0,0,3,24,0,0,0,0,0,2,91,0,0,0,0,1,80683,120,1.2275294114572126
88,0,0,2,31,0,0,0,0,8,2,92,0,0,14,0,1,79545,135,1.3592367006650063
89,0,0,1,11,0,1,0,0,2,2,29,0,0,13,0,2,72732,46,1.4708084763221112
90,0,4,115,657,2,0,0,5,16,20,703,0,0,44,0,22,65994,1522,2.163955656882057
91,0,34,99,760,5,0,1,5,38,27,1251,1,0,25,0,19,59357,2220,2.163955656882057
92,0,0,6,17,0,0,0,0,0,7,187,0,0,0,0,1,52858,217,1.2275294114572126
93,0,0,24,84,1,1,0,3,4,6,307,0,0,18,0,4,46557,430,2.0253262207700677
94,0,12,21,106,0,0,0,1,7,16,399,0,0,25,0,6,40544,562,1.9730014063936128
95,0,86,200,1456,11,11,4,11,94,19,2267,0,3,87,0,29,34970,4159,1.9730014063936128
96,0,6,39,258,0,3,1,5,4,8,577,1,2,60,1,10,30078,901,2.3025850929940455
97,0,0,28,71,1,15,0,2,2,5,52,1,0,59,0,3,26254,176,2.0253262207700677
98,0,0,144,472,11,14,1,10,139,20,601,0,8,107,0,15,24013,1412,2.3025850929940455
99,0,0,199,562,16,5,0,10,122,24,679,0,14,87,0,51,23806,1617,2.163955656882057
100,0,8,24,354,0,0,0,2,17,9,671,0,0,71,0,9,25683,1085,1.9730014063936128
101,0,0,6,22,0,0,0,1,5,13,23,0,0,11,0,1,29244,70,1.7480673485460891
102,0,0,13,143,0,0,1,0,10,2,403,0,0,8,0,1,33965,572,1.7480673485460891
103,0,4,28,424,0,1,0,0,38,2,783,0,0,16,0,4,39431,1280,1.9730014063936128
104,0,0,17,67,0,8,0,0,9,2,320,0,0,10,0,4,45373,423,1.7480673485460891
105,0,12,58,654,1,0,0,1,20,4,1274,1,0,47,0,22,51627,2024,2.0253262207700677
106,0,0,3,45,0,0,0,0,0,1,172,0,0,10,0,2,58093,221,1.2275294114572126
107,0,0,4,100,0,0,0,1,0,6,329,0,0,0,0,7,64707,440,1.4978661367769952
108,0,0,0,15,0,0,0,0,0,3,53,0,0,0,0,2,71428,71,0.9404479886553263
109,0,0,3,42,0,0,0,0,0,3,178,0,0,0,0,2,78228,226,1.0888999753452235
110,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,77718,5,0.8018185525433372
111,0,0,0,21,0,0,0,1,4,8,62,0,0,0,0,3,70729,96,1.4978661367769952
112,0,0,9,211,0,1,0,1,62,10,466,0,0,10,0,8,63779,760,1.8343719702816235
113,0,10,19,215,0,1,0,1,13,4,652,0,0,3,0,3,56884,915,2.0253262207700677
114,0,0,25,130,0,2,0,0,101,6,333,0,0,18,0,8,50066,597,1.7480673485460891
115,0,24,40,430,0,8,2,6,183,166,849,0,0,32,0,19,43361,1708,2.3025850929940455
116,0,10,72,481,2,4,0,5,31,9,1333,0,0,57,0,8,36830,1947,2.3025850929940455
117,0,0,28,216,0,2,0,1,36,15,703,0,0,39,0,18,30586,1001,1.9730014063936128
118,0,38,63,548,0,2,0,5,53,15,968,0,3,77,0,15,24846,1692,2.163955656882057
119,0,12,83,744,6,23,0,6,63,14,1005,0,1,106,0,23,20048,1956,2.163955656882057
120,0,26,480,4385,28,25,9,21,465,71,5489,0,7,212,0,121,17008,10999,2.3025850929940455
121,0,148,632,4306,97,79,8,28,759,57,3827,0,16,236,0,85,16714,9941,2.3025850929940455
122,0,0,43,439,4,17,1,2,24,7,694,0,0,70,0,19,19293,1231,2.3025850929940455
123,0,8,83,576,4,11,0,5,49,10,644,0,0,109,0,17,23830,1390,2.3025850929940455
124,0,0,7,72,0,0,0,1,4,21,64,0,0,56,0,20,29432,169,1.7480673485460891
125,0,0,12,46,0,1,0,1,4,1,36,0,0,16,0,8,35600,101,1.6434177197931796
126,0,6,24,266,0,5,0,4,18,4,564,0,0,4,0,5,42087,891,2.0253262207700677
127,0,0,3,58,0,0,0,0,1,4,191,0,0,0,0,3,48764,257,1.4978661367769952
128,0,0,1,47,0,0,0,0,0,3,200,0,0,0,0,5,55564,251,1.2275294114572126
129,0,0,0,9,0,0,0,0,0,4,60,0,0,0,0,1,62447,73,0.9404479886553263
130,0,0,2,30,0,0,0,1,0,2,119,0,0,0,0,0,69387,154,1.3592367006650063
131,0,0,3,66,0,0,0,1,0,5,302,0,0,0,0,4,76369,377,1.4978661367769952
132,0,6,20,146,1,0,0,2,373,18,145,0,0,1,0,10,76521,711,2.163955656882057
133,0,0,1,8,0,0,0,2,2,12,17,0,0,0,0,0,69411,42,1.6094379124341
134,0,12,6,19,0,0,0,0,1,8,76,0,0,14,0,0,62315,122,1.7480673485460891
135,0,124,264,1894,6,1,4,9,122,26,2932,1,0,98,0,36,55238,5382,2.3025850929940455
136,0,10,63,412,5,9,0,1,84,6,748,0,0,34,0,10,48187,1338,2.3025850929940455
137,0,0,22,187,1,3,0,3,82,12,422,0,0,22,0,11,41177,732,2.0253262207700677
138,0,20,43,573,3,12,1,2,101,8,922,0,0,36,0,3,34232,1685,2.3025850929940455
139,0,8,23,418,0,1,0,4,26,9,1052,0,0,54,0,10,27402,1541,2.163955656882057
140,0,8,108,927,4,7,1,11,60,22,1369,0,0,146,0,72,20802,2517,2.3025850929940455
141,0,148,797,5475,72,27,12,32,893,64,7104,2,14,290,4,353,14741,14624,2.3025850929940455
142,0,308,745,7134,151,18,17,44,1585,106,8285,0,21,305,0,336,10230,18393,2.3025850929940455
143,0,686,939,5949,399,67,11,48,1137,97,6811,1,22,374,0,325,9734,16144,2.3025850929940455
144,0,140,307,4060,25,49,8,25,1047,58,4445,0,10,208,0,90,13697,10164,2.163955656882057
145,0,160,525,3644,33,32,7,35,352,146,4591,0,5,227,0,119,19577,9525,2.3025850929940455
146,0,44,75,833,2,0,2,7,164,40,1084,0,0,84,0,63,26108,2251,2.163955656882057
147,0,0,1,1,0,0,0,1,0,3,9,0,0,14,0,2,32906,15,1.1682824501765625
148,0,0,6,79,0,0,0,0,28,7,105,1,0,5,0,9,39833,225,1.4978661367769952
149,0,0,0,21,0,0,0,0,0,2,107,0,0,0,0,2,46833,130,0.9404479886553263
150,0,0,3,86,1,0,0,0,9,2,355,0,0,0,0,3,53877,456,1.7480673485460891
151,0,0,2,11,0,0,0,0,0,6,51,0,0,0,0,1,60951,70,1.2275294114572126
152,0,0,6,33,0,0,0,0,1,5,146,0,0,0,0,5,68043,191,1.4978661367769952
153,0,0,0,6,0,0,0,1,0,2,16,0,0,0,0,0,75151,25,1.2275294114572126
154,0,0,4,5,0,0,0,0,24,3,3,0,0,0,0,0,75984,39,1.3592367006650063
155,0,4,5,29,0,0,0,1,58,5,9,0,0,0,0,3,68819,111,1.8343719702816235
156,0,0,14,126,0,0,0,1,21,20,358,0,0,8,0,4,61655,540,1.7480673485460891
157,0,0,3,2,0,0,0,0,4,7,9,0,0,3,0,4,54492,25,1.4978661367769952
158,0,4,18,188,0,1,0,3,52,18,295,0,0,11,0,11,47330,579,2.0253262207700677
159,0,78,396,2319,8,2,4,24,196,60,3600,1,0,157,1,61,40171,6687,2.3025850929940455
160,0,8,127,1319,4,14,2,13,119,21,2648,1,0,101,0,37,33015,4275,2.3025850929940455
161,0,16,161,762,5,67,1,6,130,9,1079,1,0,75,0,21,25866,2236,2.3025850929940455
162,0,0,116,727,13,21,0,2,39,11,1335,0,1,98,0,20,18731,2264,2.163955656882057
163,0,12,432,2927,77,46,5,17,254,32,6142,0,8,196,0,106,11638,9944,2.3025850929940455
164,0,336,2682,12319,418,62,22,78,2843,314,14485,0,35,621,0,515,4774,33559,2.3025850929940455
